           cis.trans
p.gene      cis trans
  ADA         2     1
  AXIN1       0     1
  CASP8       1     1
  CCL11       1     2
  CCL13       1     3
  CCL19       1     2
  CCL2        0     2
  CCL20       1     0
  CCL23       1     0
  CCL25       1     3
  CCL3        1     0
  CCL4        1     4
  CCL7        0     2
  CCL8        1     1
  CD244       1     1
  CD274       1     0
  CD40        2     0
  CD5         1     2
  CD6         1     2
  CDCP1       1     1
  CSF1        1     0
  CST5        3     2
  CX3CL1      1     0
  CXCL1       1     0
  CXCL10      2     2
  CXCL11      1     2
  CXCL5       1     2
  CXCL6       2     0
  CXCL9       1     2
  DNER        1     0
  EIF4EBP1    0     2
  FGF19       0     3
  FGF21       1     2
  FGF23       0     1
  FGF5        2     0
  FLT3LG      0     3
  GDNF        2     1
  IL10        0     1
  IL10RB      1     0
  IL12B       1     4
  IL15RA      1     0
  IL18        1     3
  IL18R1      3     1
  IL6         0     1
  IL7         1     0
  IL8         1     0
  KITLG       0     3
  LIFR        0     2
  LTA         0     3
  MMP1        2     1
  MMP10       1     1
  OSM         0     1
  PLAU        1     3
  S100A12     1     1
  SIRT2       1     1
  SLAMF1      1     2
  SULT1A1     1     2
  TGFA        0     1
  TGFB1       1     0
  TNFRSF11B   1     1
  TNFRSF9     1     1
  TNFSF10     1     6
  TNFSF11     1     3
  TNFSF12     1     3
  TNFSF14     1     1
  VEGFA       1     2
