X.chrom	Start	End	Region	within10m	within500k	within250k	dist
chr1	178944309	178954470	region90	1	1	1	5
chr7	124156805	124167552	region818	1	1	1	5
chr8	1044217	1163245	region844	1	1	1	60
chr10	134336329	134494673	region1094	1	1	1	79
chr2	167160270	167355970	region234	1	1	1	98
chr9	72512711	72753755	region967	1	1	1	121
chr10	69900148	70195991	region1055	1	1	1	148
chr7	139933177	140235210	region829	1	1	1	151
chr1	71372470	71684405	region45	1	1	1	156
chr6	94118142	94441175	region695	1	1	1	162
chr11	58457495	58780549	region1128	1	1	1	162
chr5	180559933	180885156	region631	1	1	1	163
chr7	63307359	63641125	region785	1	1	1	167
chr7	126519170	126869221	region820	1	1	1	175
chr1	221858231	222230220	region115	1	1	1	186
chr7	972752	1353067	region745	1	1	1	190
chr11	54695473	55082657	region1126	1	1	1	194
chr8	3392926	3783017	region848	1	1	1	195
chr9	4495328	4884926	region941	1	1	1	195
chr10	22772283	23175132	region1027	1	1	1	201
chr11	120766806	121175943	region1168	1	1	1	205
chr8	31133729	31548360	region872	1	1	1	207
chr12	101447641	101862690	region1239	1	1	1	208
chr10	100241302	100668400	region1073	1	1	1	214
chr14	48573586	49005471	region1341	1	1	1	216
chr7	5416232	5854526	region750	1	1	1	219
chr8	17387876	17836399	region861	1	1	1	224
chr8	13491775	13944992	region858	1	1	1	227
chr13	93129691	93586455	region1307	1	1	1	228
chr4	119933512	120392684	region476	1	1	1	230
chr10	29323236	29783692	region1031	1	1	1	230
chr12	115036602	115503216	region1249	1	1	1	233
chr9	88109333	88590417	region979	1	1	1	241
chr8	9154694	9640787	region854	1	1	1	243
chr1	241582220	242071602	region129	1	1	1	245
chr18	51062185	51554175	region1559	1	1	1	246
chr13	106247554	106750000	region1316	1	1	0	251
chr14	95750867	96262415	region1372	1	1	0	256
chr12	106436213	106958748	region1243	1	1	0	261
chr14	53474383	53997831	region1345	1	1	0	262
chr8	2042942	2573279	region846	1	1	0	265
chr19	80840	610729	region1579	1	1	0	265
chr16	12613098	13154437	region1442	1	1	0	271
chr11	80722373	81266712	region1140	1	1	0	272
chr6	119963278	120512128	region711	1	1	0	274
chr9	137041122	137589364	region1007	1	1	0	274
chr4	127275477	127830293	region482	1	1	0	277
chr6	32682664	33236497	region658	1	1	0	277
chr3	21643707	22204244	region293	1	1	0	280
chr9	138938978	139500342	region1009	1	1	0	281
chr8	19492840	20060856	region863	1	1	0	284
chr9	78900183	79471208	region972	1	1	0	286
chr11	114257728	114830666	region1163	1	1	0	286
chr4	154477641	155056126	region498	1	1	0	289
chr2	195861164	196447456	region248	1	1	0	293
chr9	28224283	28811584	region957	1	1	0	294
chr2	130067170	130658085	region210	1	1	0	295
chr2	241560084	242149921	region276	1	1	0	295
chr2	129474441	130067170	region209	1	1	0	296
chr11	107844200	108437037	region1158	1	1	0	296
chr9	6557589	7154923	region943	1	1	0	299
chr8	108648177	109248173	region915	1	1	0	300
chr4	86930609	87534648	region457	1	1	0	302
chr1	56413117	57021728	region35	1	1	0	304
chr4	7539692	8152235	region408	1	1	0	306
chr2	28598777	29217559	region150	1	1	0	309
chr4	27343722	27965868	region422	1	1	0	311
chr22	17674295	18296088	region1681	1	1	0	311
chr16	9799419	10426032	region1439	1	1	0	313
chr20	24717724	25344231	region1635	1	1	0	313
chr15	54508528	55136269	region1402	1	1	0	314
chr21	47492226	48119752	region1679	1	1	0	314
chr10	57031140	57662146	region1046	1	1	0	316
chr16	6893551	7529121	region1436	1	1	0	318
chr1	239925314	240564091	region127	1	1	0	319
chr6	55468270	56105313	region672	1	1	0	319
chr20	60479	697600	region1618	1	1	0	319
chr7	19481547	20124908	region761	1	1	0	322
chr17	12534769	13180372	region1494	1	1	0	323
chr12	8377536	9031395	region1187	1	1	0	327
chr16	86156599	86815411	region1480	1	1	0	329
chr2	127373764	128034347	region207	1	1	0	330
