protein	Disease	id	nsnp	fdr	Ncase	Ncontrol	Ntotal	bxy	se	pqtl	p	qtl	b_qtl	se_qtl	p_qtl	chr
IL-12B	Inflammatory bowel disease	ebi-a-GCST004131	24	8.2110585e-28	25042	34915	59957	0.324353	0.0282289	rs10076557	1.47947e-30	rs755374	0.1767	0.0134	1.58599e-39	5
IL-12B	Crohn's disease	ebi-a-GCST004132	24	3.39296475e-19	12194	28072	40266	0.34231	0.0358211	rs10076557	1.22269e-21	rs755374	0.1969	0.0174	1.38007e-29	5
ST1A1	Inflammatory bowel disease	ebi-a-GCST004131	8	9.973905e-19	25042	34915	59957	-0.548545	0.058348	rs149278	5.3913e-21	rs28374519	-0.1105	0.0137	6.54636e-16	16
IL-12B	Ulcerative colitis	ebi-a-GCST004133	24	6.5413965e-18	12366	33609	45975	0.325671	0.0355134	rs10076557	4.71452e-20	rs6871626	0.1713	0.017	5.89522e-24	5
ST1A1	Crohn's disease	ebi-a-GCST004132	7	1.6957248e-15	12194	28072	40266	-0.611446	0.0717236	rs149278	1.52768e-17	rs42861	0.1243	0.0167	8.86748e-14	16
CD40	Rheumatoid arthritis	ieu-a-833	16	1.32823525e-13	19234	61565	80799	0.250344	0.0313623	rs1883832	1.43593e-15	rs4239702	0.116534	0.0142552	8.99912e-15	20
CD40	Multiple sclerosis	ieu-b-18	19	9.76395642857143e-11	47429	68374	115803	-0.281178	0.0395926	rs1883832	1.23149e-12	rs6032662	-0.133831	0.0183292	2.84512e-13	20
ST1A1	Ulcerative colitis	ebi-a-GCST004133	9	1.4568680625e-09	12366	33609	45975	-0.47906	0.0715133	rs149278	2.09999e-11	rs28374519	-0.0934	0.0174	8.14104e-08	16
IL-18R1	Eczema	ieu-a-996	57	1.286305e-08	10788	30047	40835	0.142476	0.0224199	rs2270297	2.0859e-10	rs6419573	-0.12395	0.0196501	2.91998e-10	2
CD40	Crohn's disease	ebi-a-GCST004132	21	1.24633575e-06	12194	28072	40266	-0.209209	0.0374128	rs1883832	2.24565e-08	rs3761158	-0.1098	0.0165	2.64911e-11	20
CD6	Inflammatory bowel disease	ebi-a-GCST004131	47	1.053945e-05	25042	34915	59957	0.0968986	0.0186658	rs2074227	2.0889e-07	rs11230563	-0.0621	0.0131	1.95398e-06	11
FGF-21	Type 1 diabetes	GCST90014023	5	3.335378875e-05	18942	501638	520580	0.441949	0.0891821	rs838131	7.21163e-07	rs601338	0.127096	0.014419	1.2e-18	19
CD40	Inflammatory bowel disease	ebi-a-GCST004131	22	8.18714653846154e-05	25042	34915	59957	-0.136369	0.0286375	rs1883832	1.91771e-06	rs3761158	-0.0632	0.0127	6.98007e-07	20
CXCL5	Ulcerative colitis	ebi-a-GCST004133	13	8.96979107142857e-05	12366	33609	45975	-0.234425	0.0495779	rs450373	2.26265e-06	rs425535	0.133	0.0257	2.21799e-07	4
CCL4	Type 1 diabetes	GCST90014023	50	0.0003258169125	18942	501638	520580	0.163264	0.0368484	rs8064426	9.39292e-06	rs78943308	-0.142301	0.033837	2.61e-05	17
IL-15RA	Type 1 diabetes	GCST90014023	21	0.0003258169125	18942	501638	520580	0.140026	0.031549	rs2228059	9.0646e-06	rs61839660	-0.357441	0.026	5.25e-43	10
IL-18R1	Crohn's disease	ebi-a-GCST004132	59	0.000619047	12194	28072	40266	0.0947867	0.0221631	rs2270297	1.89618e-05	rs11378157	-0.1376	0.0185	9.28966e-14	2
CD6	Ulcerative colitis	ebi-a-GCST004133	50	0.00216024191666667	12366	33609	45975	0.0941879	0.0236887	rs2074227	7.00619e-05	rs139528358	0.1664	0.0365	5.10799e-06	11
CD5	Primary sclerosing cholangitis	ieu-a-1112	5	0.00236732913157895	2871	12019	14890	-0.703108	0.178395	rs674379	8.10437e-05	rs10792302	0.120446	0.03	4.88416e-05	11
CX3CL1	Systemic lupus erythematosus	ebi-a-GCST003156	10	0.0047743875	5201	9066	14267	0.471433	0.125485	rs671623	0.00017205	rs10852562	-0.173953	0.0334521	1.99214e-07	16
CCL4	Inflammatory bowel disease	ebi-a-GCST004131	19	0.00754376181818182	25042	34915	59957	-0.127106	0.0350479	rs8064426	0.000287138	rs180715914	-0.636	0.1592	6.44496e-05	17
CCL4	Sepsis	ieu-b-69	61	0.00754376181818182	10154	454764	464918	0.0870638	0.0240765	rs8064426	0.000299032	rs1221587775	-0.0615425	0.016471	8.09991e-05	17
CXCL5	Inflammatory bowel disease	ebi-a-GCST004131	13	0.0109104313043478	25042	34915	59957	-0.133672	0.0381091	rs450373	0.000452144	rs425535	0.0755	0.0199	0.000145999	4
OPG	Type 1 diabetes	GCST90014023	9	0.01855813625	18942	501638	520580	-0.238905	0.0712738	rs2247769	0.000802514	rs13259300	-0.092191	0.014669	3.28e-10	8
CD6	Crohn's disease	ebi-a-GCST004132	50	0.0201613962	12194	28072	40266	0.0797981	0.0240535	rs2074227	0.000908171	rs102275	0.0856	0.0166	2.70601e-07	11
CCL4	Eczema	ieu-a-996	36	0.0375658153846154	10788	30047	40835	0.176797	0.0565202	rs8064426	0.00175984	rs191528235	-1.0114	0.223171	5.92994e-06	17
CD6	Systemic lupus erythematosus	ebi-a-GCST003156	35	0.0442497388888889	5201	9066	14267	0.13562	0.0442001	rs2074227	0.00215269	rs2232143	-0.478036	0.11817	5.2248e-05	11
CCL4	Ulcerative colitis	ebi-a-GCST004133	19	0.0467074125	12366	33609	45975	-0.135513	0.0445593	rs8064426	0.00235641	rs147721468	-0.0563	0.0158	0.000370399	17
ADA	Ulcerative colitis	ebi-a-GCST004133	15	0.0469273551724138	12366	33609	45975	0.0931452	0.0307492	rs11555566	0.00245206	rs6017342	0.1944	0.017	3.95185e-30	20
CXCL11	Multiple sclerosis	ieu-b-18	8	0.062716295	47429	68374	115803	-0.212264	0.0724462	rs6827617	0.00339007	rs2703111	0.139492	0.0417208	0.000827409	4
CX3CL1	Ulcerative colitis	ebi-a-GCST004133	11	0.0652696112903226	12366	33609	45975	0.190705	0.0655953	rs671623	0.00364569	rs7199577	0.0718	0.0178	5.38295e-05	16
CCL4	Crohn's disease	ebi-a-GCST004132	19	0.0779120772727273	12194	28072	40266	-0.129699	0.0458054	rs8064426	0.00463261	rs28363255	0.5331	0.1595	0.000833393	17
uPA	Type 1 diabetes	GCST90014023	5	0.0779120772727273	18942	501638	520580	-0.232862	0.0819572	rs55744193	0.00449356	rs59163724	0.223065	0.061092	0.000261	10
MCP-3	Primary sclerosing cholangitis	ieu-a-1112	2	0.107781634285714	2871	12019	14890	-0.801023	0.295949	rs7213460	0.00679704	rs4795901	0.107059	0.03	0.000288755	17
ST1A1	Rheumatoid arthritis	ieu-a-833	6	0.107781634285714	19234	61565	80799	-0.135707	0.0500366	rs149278	0.00668484	rs7500321	-0.0833816	0.016643	3.09999e-06	16
CD5	Type 1 diabetes	GCST90014023	6	0.115404233333333	18942	501638	520580	0.20313	0.0759528	rs674379	0.00748568	rs117789849	0.204166	0.037953	7.47e-08	11
CD6	Multiple sclerosis	ieu-b-18	23	0.118724723684211	47429	68374	115803	0.0677057	0.0255608	rs2074227	0.00807773	rs4939490	0.136627	0.0174104	4.24717e-15	11
