UniProt,prot,X.chrom,chromStart,chromEnd,name,strand,protAltShortNames,geneName,geneSynonyms
O00300,OPG,chr8,119936615,119964060,O00300,-,,TNFRSF11B,OCIF; OPG
O14625,CXCL11,chr4,76955948,76957140,O14625,-,IP-9; I-TAC,CXCL11,ITAC; SCYB11; SCYB9B
O14788,TRANCE,chr13,43148439,43181051,O14788-1,+,ODF; OPGL; RANKL; TRANCE,TNFSF11,OPGL; RANKL; TRANCE
O15169,AXIN1,chr16,338124,397025,O15169-1,-,hAxin,AXIN1,AXIN
O15444,CCL25,chr19,8117933,8127106,O15444-1,+,,CCL25,SCYA25; TECK
O43508,TWEAK,chr17,7452470,7460664,O43508-1,+,TWEAK,TNFSF12,APO3L; DR3LG
O43557,TNFSF14,chr19,6664939,6670080,O43557-1,-,HVEM-L; Herpesvirus entry mediator ligand,TNFSF14,HVEML; LIGHT
O95630,STAMPB,chr2,74057983,74089383,O95630-1,+,,STAMBP,AMSH
O95750,FGF.19,chr11,69514032,69518644,O95750,-,,FGF19,
O95760,IL.33,chr9,6241694,6256165,O95760-1,+,IL-1F11; NF-HEV,IL33,C9orf26; IL1F11; NFHEV
P00749,uPA,chr10,75671313,75676320,P00749-1,+,,PLAU,
P00813,ADA,chr20,43248477,43280248,P00813,-,,ADA,ADA1
P01135,TGF.alpha,chr2,70677993,70780899,P01135-1,-,,TGFA,
P01137,LAP.TGF.beta.1,chr19,41836959,41858949,P01137,-,,TGFB1,TGFB
P01138,Beta.NGF,chr1,115828693,115829416,P01138,-,,NGF,NGFB
P01374,TNFB,chr6,31540519,31541467,P01374,+,,LTA,TNFB; TNFSF1
P01375,TNF,chr6,31543518,31545311,P01375,+,TNF-a,TNF,TNFA; TNFSF2
P01579,IFN.gamma,chr12,68549135,68553395,P01579,-,,IFNG,
P01583,IL.1.alpha,chr2,113532646,113541347,P01583,-,,IL1A,IL1F1
P02778,CXCL10,chr4,76943085,76944584,P02778,-,Gamma-IP10; IP-10,CXCL10,INP10; SCYB10
P03956,MMP.1,chr11,102661145,102668823,P03956,-,MMP-1,MMP1,CLG
P05112,IL.4,chr5,132009742,132018276,P05112-1,+,BSF-1,IL4,
P05113,IL.5,chr5,131877505,131879170,P05113,-,TRF,IL5,
P05231,IL.6,chr7,22766881,22771189,P05231,+,BSF-2; CDF; IFN-beta-2,IL6,IFNB2
P06127,CD5,chr11,60870032,60893308,P06127,+,,CD5,LEU1
P09238,MMP.10,chr11,102641526,102651322,P09238,-,MMP-10,MMP10,STMY2
P09341,CXCL1,chr4,74735187,74736250,P09341,+,MGSA; NAP-3,CXCL1,GRO; GRO1; GROA; MGSA; SCYB1
P09603,CSF.1,chr1,110453645,110467808,P09603-1,+,,CSF1,
P10145,IL.8,chr4,74606375,74608178,P10145,+,GCP-1; MDNCF; MONAP; NAP-1,CXCL8,IL8
P10147,MIP.1.alpha,chr17,34416020,34417404,P10147,-,MIP-1-alpha,CCL3,G0S19-1; MIP1A; SCYA3
P12034,FGF.5,chr4,81187978,81207823,P12034-1,+,HBGF-5,FGF5,
P13232,IL.7,chr8,79645950,79717157,P13232-1,-,,IL7,
P13236,CCL4,chr17,34431298,34432702,P13236,+,LAG-1; MIP-1-beta; ACT-2,CCL4,LAG1; MIP1B; SCYA4
P13500,MCP.1,chr17,32582368,32583843,P13500,+,MCAF; MCP-1,CCL2,MCP1; SCYA2
P13725,OSM,chr22,30659874,30662788,P13725,-,,OSM,
P14210,HGF,chr7,81331899,81399287,P14210-1,-,SF,HGF,HPTA
P14784,IL.2RB,chr22,37524138,37540212,P14784,-,p75,IL2RB,IL15RB
P15018,LIF,chr22,30639642,30642684,P15018-1,-,D factor; MLPLI,LIF,HILDA
P15692,VEGF.A,chr6,43738983,43752296,P15692-1,+,VPF,VEGFA,VEGF
P20783,NT.3,chr12,5603380,5604151,P20783-1,+,NGF-2,NTF3,
P21583,SCF,chr12,88898975,88974055,P21583-1,-,MGF; SCF,KITLG,MGF; SCF
P22301,IL.10,chr1,206941983,206945780,P22301,-,CSIF,IL10,
P23560,BDNF,chr11,27679370,27680111,P23560-1,-,,BDNF,
P25942,CD40,chr20,44746982,44757676,P25942-1,+,,CD40,TNFRSF5
P28325,CST5,chr20,23856827,23860313,P28325,-,,CST5,
P29460,IL.12B,chr5,158743695,158753790,P29460,-,CLMF p40; NKSF2,IL12B,NKSF2
P30203,CD6,chr11,60739337,60786787,P30203-1,+,,CD6,
P35225,IL.13,chr5,131993878,131995971,P35225,+,,IL13,NC30
P39905,GDNF,chr5,37815755,37834898,P39905-1,-,ATF,GDNF,
P42702,LIF.R,chr5,38481699,38530749,P42702-1,-,,LIFR,
P42830,CXCL5,chr4,74863356,74864298,P42830,-,,CXCL5,ENA78; SCYB5
P49771,Flt3L,chr19,49977896,49983853,P49771-1,+,,FLT3LG,
P50225,ST1A1,chr16,28617144,28620176,P50225-1,-,P-PST 1; Ts-PST,SULT1A1,STP; STP1
P50591,TRAIL,chr3,172224284,172241174,P50591-1,-,Apo-2L; Protein TRAIL,TNFSF10,APO2L; TRAIL
P51671,CCL11,chr17,32612827,32614706,P51671,+,,CCL11,SCYA11
P55773,CCL23,chr17,34340239,34344934,P55773-1,-,CKB-8; MIP-3; MPIF-1,CCL23,MIP3; MPIF1; SCYA23
P60568,IL.2,chr4,123372909,123377595,P60568,-,TCGF,IL2,
P78423,CX3CL1,chr16,57406480,57416941,P78423,+,,CX3CL1,FKN; NTT; SCYD1
P78556,CCL20,chr2,228678627,228681796,P78556-1,+,MIP-3-alpha,CCL20,LARC; MIP3A; SCYA20
P80075,MCP.2,chr17,32646520,32647923,P80075,+,MCP-2,CCL8,MCP2; SCYA10; SCYA8
P80098,MCP.3,chr17,32597309,32598818,P80098,+,MCP-3,CCL7,MCP3; SCYA6; SCYA7
P80162,CXCL6,chr4,74702467,74703355,P80162,+,CKA-3; GCP-2,CXCL6,GCP2; SCYB6
P80511,EN.RAGE,chr1,153346305,153347068,P80511,-,CAAF1; CAGC; EN-RAGE; MRP-6; p6,S100A12,
Q07011,TNFRSF9,chr1,7980897,8000054,Q07011,-,,TNFRSF9,CD137; ILA
Q07325,CXCL9,chr4,76924753,76928602,Q07325,-,HuMIG; MIG,CXCL9,CMK; MIG; SCYB9
Q08334,IL.10RB,chr21,34638770,34668659,Q08334,+,CRF2-4; IL-10R subunit 2; IL-10R2,IL10RB,CRFB4; D21S58; D21S66
Q13007,IL.24,chr1,207071177,207076401,Q13007-1,+,MDA-7,IL24,MDA7; ST16
Q13261,IL.15RA,chr10,5995060,6019455,Q13261-1,-,,IL15RA,
Q13291,SLAMF1,chr1,160580540,160616735,Q13291-1,-,,SLAMF1,SLAM
Q13478,IL.18R1,chr2,102979120,103013343,Q13478,+,IL-1Rrp; IL1R-rp,IL18R1,IL1RRP
Q13541,4E.BP1,chr8,37888091,37917450,Q13541,+,PHAS-I,EIF4EBP1,
Q13651,IL.10RA,chr11,117857182,117870353,Q13651,+,IL-10R subunit 1; IL-10R1,IL10RA,IL10R
Q14116,IL.18,chr11,112014321,112025776,Q14116-1,-,IFN-gamma-inducing factor; IL-1 gamma,IL18,IGIF; IL1F4
Q14790,CASP.8,chr2,202131209,202151314,Q14790-1,+,FLICE; MACH,CASP8,MCH5
Q16552,IL.17A,chr6,52051229,52054087,Q16552,+,CTLA-8,IL17A,CTLA8; IL17
Q5T4W7,ARTN,chr1,44401328,44402434,Q5T4W7-1,+,,ARTN,EVN
Q8IXJ6,SIRT2,chr19,39369797,39390161,Q8IXJ6-1,-,,SIRT2,SIR2L; SIR2L2
Q8N6P7,IL.22.RA1,chr1,24447297,24469572,Q8N6P7,-,CRF2-9,IL22RA1,IL22R
Q8NFT8,DNER,chr2,230223258,230579139,Q8NFT8,-,,DNER,BET
Q969D9,TSLP,chr5,110407588,110411769,Q969D9-1,+,,TSLP,
Q99616,MCP.4,chr17,32683545,32685147,Q99616,+,MCP-4,CCL13,MCP4; NCC1; SCYA13
Q99731,CCL19,chr9,34689818,34691136,Q99731,-,EBI1 ligand chemokine; ELC; MIP-3-beta,CCL19,ELC; MIP3B; SCYA19
Q99748,NRTN,chr19,5824176,5828181,Q99748,+,,NRTN,
Q9BZW8,CD244,chr1,160801139,160832467,Q9BZW8-1,-,NAIL; NKR2B4; h2B4; SLAMF4,CD244,2B4
Q9GZV9,FGF.23,chr12,4479511,4488748,Q9GZV9,-,,FGF23,HYPF
Q9H5V8,CDCP1,chr3,45127132,45187779,Q9H5V8-1,-,SIMA135,CDCP1,TRASK
Q9NRJ3,CCL28,chr5,43381964,43412418,Q9NRJ3-1,-,MEC,CCL28,SCYA28
Q9NSA1,FGF.21,chr19,49259493,49261474,Q9NSA1,+,,FGF21,
Q9NYY1,IL.20,chr1,207039197,207041906,Q9NYY1-1,+,,IL20,ZCYTO10
Q9NZQ7,PD.L1,chr9,5456113,5467859,Q9NZQ7-1,+,B7-H1,CD274,B7H1; PDCD1L1; PDCD1LG1; PDL1
Q9P0M4,IL.17C,chr16,88705049,88706477,Q9P0M4,+,,IL17C,
Q9UHF4,IL.20RA,chr6,137322697,137365865,Q9UHF4-1,-,CRF2-8,IL20RA,
