order	Olink_name	gene	Uniprot	CV, IMPROVE	Comment, IMPROVE
1	101_IL-8	IL8	P10145	15.2%	
2	102_VEGF-A	VEGFA	P15692	12.8%	
3	103_AM	ADM	P35318	19.7%	
4	105_CD40-L	CD40LG	P29965	19.8%	
5	106_GDF-15	GDF15	Q99988	13.3%	
6	107_PlGF	PGF	P49763	14.8%	
7	108_SELE	SELE	P16581	16.4%	
8	109_EGF	EGF	P01133	14.9%	
9	110_OPG	TNFRSF11B	O00300	12.7%	
10	111_SRC	SRC	P12931	21.1%	
11	112_IL-1ra	IL1RN	P18510	34.9%	high CV
12	113_IL-6	IL6	P05231	13.2%	
13	114_CSTB	CSTB	P04080	16.5%	
14	115_MCP-1	CCL2	P13500	19.6%	
15	116_KLK6	KLK6	Q92876	15.4%	
16	117_Gal-3	LGALS3	P17931	15.7%	
17	118_PAR-1	F2R	P25116	17.8%	
18	120_TRAIL	TNFRSF1A	P19438	39.8%	high CV
19	121_hK11	KLK11	Q9UBX7	18.7%	
20	122_TIE2	TEK	Q02763	13.8%	
21	123_TF	F3	P13726	18.0%	
22	124_TNF-R1	TNFSF11	O14788	15.0%	
23	125_PDGF subunit B	PDGFB	P01127	13.2%	
24	126_IL27-A	IL27	Q8NEV9	19.9%	
25	127_CSF-1	CSF1	P09603	15.1%	
26	128_CXCL1	CXCL1	P09341	15.2%	
27	129_LOX-1	OLR1	P78380	16.7%	
28	130_TRAIL-R2	TNFRSF10B	O14763	24.4%	
29	131_FGF-23	FGF23	Q9GZV9	17.4%	
30	132_SCF	KITLG	P21583	12.2%	
31	133_IL-18	IL18	Q14116	12.3%	
32	134_IL-6RA	IL6R	P08887	14.1%	
33	135_TNF-R2	TNFSF14	O43557	14.8%	
34	136_MMP-3	MMP3	P08254	13.4%	
35	137_HSP 27	HSPB1	P04792	15.7%	
36	138_TNFSF14	TNFSF10	P50591	16.4%	
37	139_PRL	PRL	P01236	14.9%	
38	140_MPO	MPO	P05164	14.9%	
39	141_GH	GH1	P01241	14.6%	
40	142_MMP-1	MMP1	P03956	18.7%	
41	143_RETN	RETN	Q9HD89	16.1%	
42	144_FAS	FAS	P25445	13.2%	
43	145_PAPPA	PAPPA	Q13219	16.6%	
44	148_PTX3	PTX3	P26022	11.1%	>20% below LOD
45	149_REN	REN	P00797	16.6%	
46	150_CHI3L1	CHI3L1	P36222	16.1%	
47	151_ST2	IL1RL1	Q01638	13.1%	
48	152_TIM	HAVCR1	Q96D42	15.7%	
49	153_Beta-NGF	NGF	P01138	18.5%	
50	154_mAmP	XPNPEP2	O43895	18.8%	
51	155_TRANCE	TNFRSF1B	P20333	20.4%	
52	156_HGF	HGF	P14210	13.4%	
53	157_PSGL-1	SELPLG	Q14242	10.7%	>20% below LOD
54	158_MB	MB	P02144	17.4%	
55	159_TM	THBD	P07204	15.9%	
56	160_IL-16	IL16	Q14005	19.8%	
57	161_MMP-10	MMP10	P09238	15.7%	
58	162_U-PAR	PLAUR	Q03405	14.2%	
59	163_CCL4	CCL4	P13236	12.8%	
60	164_CTSD	CTSD	P07339	14.8%	
61	165_RAGE	AGER	Q15109	15.4%	
62	166_CCL3	CCL3	P10147	17.0%	
63	167_MMP-7	MMP7	P09237	20.2%	
64	168_CXCL6	CXCL6	P80162	14.9%	
65	169_ITGB1BP2	ITGB1BP2	Q9UKP3	0.0%	>20% below LOD
66	170_CXCL16	CXCL16	Q9H2A7	17.4%	
67	171_Dkk-1	DKK1	O94907	13.2%	
68	172_SIRT2	SIRT2	Q8IXJ6	20.2%	>20% below LOD
69	173_GAL	GAL	P22466	15.0%	
70	174_AGRP	AGRP	O00253	16.9%	
71	175_EN-RAGE	S100A12	P80511	18.4%	>20% below LOD
72	176_CD40	CD40	P25942	14.8%	
73	177_t-PA	PLAT	P00750	24.0%	
74	178_HB-EGF	HBEGF	Q99075	17.7%	
75	179_ESM-1	ESM1	Q9NQ30	17.1%	
76	180_IL-4	IL4	P05112	0.0%	>20% below LOD
77	181_VEGF-D	FIGF	O43915	18.5%	
78	182_MMP-12	MMP12	P39900	14.0%	
79	183_SPON1	SPON1	Q9HCB6	17.2%	
80	184_CASP-8	CASP8	Q14790	16.4%	>20% below LOD
81	185_CTSL1	CTSL1	P07711	16.0%	
82	186_CX3CL1	CX3CL1	P78423	26.5%	
83	187_FABP4	FABP4	P15090	20.1%	
84	188_BNP	BNP	 	0.2%	
85	189_LEP	LEP	P41159	18.5%	
86	190_CCL20	CCL20	P78556	15.3%	
87	191_CA-125	MUC16	Q8WXI7	21.5%	
88	192_NEMO	IKBKG	Q9Y6K9	21.6%	
89	193_FS	FST	P19883	17.9%	
90	194_PECAM-1	PECAM1	P16284	19.6%	
91	195_NT-pro-BNP	NPPB	P16860	20.1%	
92	196_ECP	RNASE3	P12724	15.9%	

