#chrom	chromStart	chromEnd	name	strand	protAltShortNames	geneName	geneSynonyms
chr1	69090	70005	Q8NH21	+		OR4F5	
chr1	367658	368594	Q6IEY1	+		OR4F3; OR4F16; OR4F29	
chr1	621098	622034	Q6IEY1	-		OR4F3; OR4F16; OR4F29	
chr1	861321	879530	Q96NU1-3	+		SAMD11	
chr1	880076	894620	Q9Y3T9	-		NOC2L	NIR
chr1	896073	900568	Q6TDP4	+		KLHL17	
chr1	901911	909952	Q494U1-1	+		PLEKHN1	
chr1	911554	917470	Q5SV97-1	-		PERM1	C1orf170
chr1	934441	935353	Q9HCC6	-	bHLHb42	HES4	BHLHB42
chr1	948953	949855	P05161	+	IP17; hUCRP	ISG15	G1P2; UCRP
chr1	955552	990358	O00468-1	+		AGRN	AGRIN
chr1	1007199	1007946	E7ERA6	-		RNF223	
chr1	1018275	1026923	Q96HA4-1	-		C1orf159	
chr1	1114595	1133224	Q6ZVT0-1	+		TTLL10	
chr1	1139226	1141951	Q9Y5U5-1	-		TNFRSF18	AITR; GITR
chr1	1146937	1149507	P43489	-		TNFRSF4	TXGP1L
chr1	1152894	1164173	Q9BRK5-1	-	SDF-4	SDF4	CAB45
chr1	1167658	1168645	Q96L58	+		B3GALT6	
chr1	1177930	1182070	Q5T7M4	-		C1QTNF12	C1QDC2; CTRP12; FAM132A
chr1	1190585	1203372	Q8N2K1-1	-	NCUBE-2	UBE2J2	NCUBE2
chr1	1219404	1226987	P51172-1	+	Delta-ENaC; ENaCD	SCNN1D	DNACH
chr1	1228946	1243195	Q96P50-3	-	Cnt-b5	ACAP3	CENTB5; KIAA1716
chr1	1244023	1246756	Q8N0Z8-1	+		PUSL1	
chr1	1247241	1259988	Q5TA45-1	-	CPSF3-like protein; RC-68	INTS11	CPSF3L; RC68
chr1	1262290	1263140	Q5TA50	+	GLTP domain-containing protein 1	CPTP	GLTPD1
chr1	1266725	1269841	Q7RTX0	+		TAS1R3	T1R3; TR3
chr1	1271524	1284445	O14640-1	-		DVL1	
chr1	1271524	1284445	P54792-1	-	Dishevelled-1-like	DVL1P1	DVL; DVL1; DVL1L1
chr1	1288986	1293884	Q9BRK3-1	-		MXRA8	
chr1	1309183	1310136	Q9NWT8	-	MRP-S38	AURKAIP1	AIP; AKIP; MRPS38
chr1	1322613	1334686	Q96S94-1	-		CCNL2	
chr1	1337465	1342597	Q9BYC9-1	-		MRPL20	
chr1	1354482	1356385	E5RJM6-1	-		ANKRD65	
chr1	1361507	1363164	A6NKF7	+		TMEM88B	
chr1	1371128	1375164	Q6PCB0-1	+		VWA1	
chr1	1386063	1403907	Q5T2N8	+		ATAD3C	
chr1	1407264	1431194	Q5T9A4-1	+		ATAD3B	KIAA1273; TOB3
chr1	1447648	1469449	Q9NVI7-1	+		ATAD3A	
chr1	1470741	1475726	Q5SV17	-		TMEM240	C1orf70
chr1	1477448	1509937	Q9NP77-1	-		SSU72	
chr1	1534717	1535395	F2Z333	-		FNDC10	C1orf233
chr1	1551010	1565907	Q96AX9-1	+	Novelzin	MIB2	SKD; ZZANK1
chr1	1567597	1569998	O75900-1	+	MMP-21; MMP-22	MMP23A; MMP23B	MMP21; MMP21; MMP22
chr1	1571128	1654257	P21127-1	-	CLK-1	CDK11B	CDC2L1; CDK11; PITSLREA; PK58
chr1	1571128	1654257	Q9UQ88-1	-		CDK11A	CDC2L2; CDC2L3; PITSLREB
chr1	1597223	1608138	P0CK96	-		SLC35E2B	KIAA0447
chr1	1599765	1608138	P0CK97-1	-		SLC35E2	
chr1	1663896	1670996	P0CK97-1	-		SLC35E2	
chr1	1684345	1696845	O95544-1	-		NADK	
chr1	1718772	1756892	P62873-1	-		GNB1	
chr1	1846719	1848629	Q8TD86	+		CALML6	CAGLP; CALGP
chr1	1849323	1850704	Q8NDY8-1	-		TMEM52	
chr1	1853728	1858478	Q9C0B2-1	-		CFAP74	C1orf222; KIAA1751
chr1	1859047	1859185	Q9C0B2-1	-		CFAP74	C1orf222; KIAA1751
chr1	1887130	1922395	Q9C0B2-1	-		CFAP74	C1orf222; KIAA1751
chr1	1950862	1961718	O14764	+		GABRD	
chr1	1982069	2116445	Q05513-1	+		PRKCZ	PKC2
chr1	2121150	2126188	Q6NZ36-1	-		FAAP20	C1orf86
chr1	2160205	2238201	P12755	+		SKI	
chr1	2252824	2322972	Q5T089-1	-		MORN1	
chr1	2327229	2334560	O15258	+		RER1	
chr1	2337207	2343941	O60683-1	-		PEX10	RNF69
chr1	2408027	2436649	O75038-1	+	PLC-L4; Phospholipase C-like protein 4; PLC-eta2	PLCH2	KIAA0450; PLCL4
chr1	2440288	2458026	Q9NVE7	-		PANK4	
chr1	2460910	2461603	Q5TA89	-	bHLHb38	HES5	BHLHB38
chr1	2488103	2494709	Q92956-1	+	Herpesvirus entry mediator A; HveA; TR2	TNFRSF14	HVEA; HVEM
chr1	2518324	2520863	Q8TBF2-1	+		FAM213B	C1orf93
chr1	2522431	2560923	Q495T6-1	-	NEPII; NEP2; NL2	MMEL1	MELL1; MMEL2; NEP2
chr1	2572809	2706156	A8MYJ7	-		TTC34	
chr1	2938250	2939381	Q8TDY3	+		ACTRT2	ARPM2
chr1	2985823	3350372	Q9HAZ2-1	+	MDS1/EVI1-like gene 1	PRDM16	KIAA1675; MEL1; PFM13
chr1	3379648	3397148	Q5VV41-1	+		ARHGEF16	EPHEXIN4; NBR
chr1	3407094	3527832	O75095-1	-	EGF-like protein 3	MEGF6	EGFL3; KIAA0815
chr1	3541636	3545164	Q5T0D9-1	+		TPRG1L	FAM79A; MOVER
chr1	3547541	3566563	Q9P2S5	-		WRAP73	WDR8
chr1	3598929	3649640	O15350-1	+		TP73	P73
chr1	3669045	3688084	Q2M243	+		CCDC27	
chr1	3691937	3692482	B2RUZ4	+		SMIM1	
chr1	3697654	3713040	Q8N1G4	-		LRRC47	KIAA1185
chr1	3731968	3768971	O60308-1	-		CEP104	KIAA0562
chr1	3774167	3800302	O76075-1	+	CAD; Caspase-activated DNase; CPAN; DFF-40	DFFB	CAD; DFF2; DFF40
chr1	3806526	3816750	Q8IYL3	-		C1orf174	
chr1	4715485	4834556	Q9UKB5	+		AJAP1	MOT8; SHREW1
chr1	5923327	6046349	O75161-1	-		NPHP4	KIAA0673
chr1	6100628	6158631	Q13303-1	+	hKvbeta2	KCNAB2	KCNA2B; KCNK2
chr1	6166342	6240083	Q8TDI0	-		CHD5	KIAA0444
chr1	6246734	6259633	P35268	-	EAP	RPL22	
chr1	6266595	6279464	Q6ZRF8-1	+		RNF207	C1orf188
chr1	6285142	6295971	O60725	-	PPMT; pcCMT	ICMT	PCCMT
chr1	6304425	6305564	Q5TGS1	+	bHLHb43	HES3	BHLHB43
chr1	6309400	6314965	Q6NV75	-		GPR153	PGR1
chr1	6324659	6445726	O00154-1	-	BACH; CTE-II	ACOT7	BACH
chr1	6478935	6479880	Q9Y543-1	-	bHLHb40	HES2	BHLHB40
chr1	6485015	6520203	B1AK53-1	+		ESPN	DFNB36
chr1	6521496	6526167	Q93038-1	-	LARD	TNFRSF25	APO3; DDR3; DR3; TNFRSF12; WSL; WSL1
chr1	6527625	6557383	O94827-1	-	GEF720	PLEKHG5	KIAA0720
chr1	6585916	6614562	Q5SY16	-		NOL9	
chr1	6615433	6639641	Q7RTX1-1	+		TAS1R1	GPR70; T1R1; TR1
chr1	6640669	6649269	P10074	+	hKR3	ZBTB48	HKR3; TZAP; ZNF855
chr1	6653427	6662877	Q9UJP4-1	-		KLHL21	KIAA0469
chr1	6674126	6681694	Q86YI8	+	SPOC1	PHF13	
chr1	6685278	6693134	Q8WTV1-1	+		THAP3	
chr1	6695737	6761860	Q9NVH1-1	-		DNAJC11	
chr1	6845590	7826548	Q9Y6Y1-1	+		CAMTA1	KIAA0833
chr1	7831443	7839702	Q15836	+	CEB	VAMP3	SYB3
chr1	7844937	7902812	P56645-1	+		PER3	
chr1	7907828	7913063	O95399-1	-	U-II; UII	UTS2	
chr1	7980897	8000054	Q07011	-		TNFRSF9	CD137; ILA
chr1	8022845	8045111	Q99497	+		PARK7	
chr1	8073272	8075679	Q9UJM3	-	MIG-6	ERRFI1	MIG6
chr1	8384389	8404070	Q9Y2W3	+	DNb-5	SLC45A1	DNB5
chr1	8415149	8716356	Q9P2R6-1	-		RERE	ARG; ARP; ATN1L; KIAA0458
chr1	8921421	8934967	P06733-1	-	NNE	ENO1	ENO1L1; MBPB1; MPB1
chr1	9005945	9034760	P23280-1	+	CA-VI	CA6	
chr1	9063361	9086404	Q6PXP3	-	GLUT-7	SLC2A7	GLUT7
chr1	9097647	9129595	P22732-1	-	GLUT-5	SLC2A5	GLUT5
chr1	9164480	9189086	Q5UAW9	-		GPR157	
chr1	9304993	9324925	O95479	+		H6PD	GDH
chr1	9415950	9427631	Q96BD6	+		SPSB1	SSB1
chr1	9599750	9642556	Q9BSK2	+	BMSC-MCP; HuBMSC-MCP	SLC25A33	
chr1	9648988	9673138	Q5SNT2-1	+		TMEM201	NET5; SAMP1
chr1	9713839	9714494	Q5SR53	-		PIK3CD-AS1	C1orf200
chr1	9770513	9787101	O00329-1	+	PtdIns-3-kinase subunit p110-delta; p110delta	PIK3CD	
chr1	9790568	9883791	O94985-1	-	Alc-alpha	CLSTN1	CS1; KIAA0911
chr1	9910778	9932122	Q9NSA3	-		CTNNBIP1	ICAT
chr1	9990459	9996677	Q8WZA0-1	-		LZIC	
chr1	10032131	10042756	Q9HAN9	+	NMN adenylyltransferase 1; NaMN adenylyltransferase 1	NMNAT1	NMNAT
chr1	10057316	10075887	Q96R05	+	CRABP4; CRBP4; CRABP-IV	RBP7	
chr1	10093728	10240011	O95155-1	+		UBE4B	HDNB1; KIAA0684; UFD2
chr1	10292386	10436642	O60333-1	+		KIF1B	KIAA0591; KIAA1448
chr1	10459174	10479803	P52209-1	+		PGD	PGDH
chr1	10490574	10502459	Q8N2Z9-1	+		CENPS	APITD1; FAAP16; MHF1
chr1	10510280	10511649	O00230	+		CORT	
chr1	10521549	10532515	O00273-1	-	DFF-45; ICAD	DFFA	DFF1; DFF45
chr1	10535023	10690041	O75381-1	+		PEX14	
chr1	10699001	10753946	Q86V15-1	-		CASZ1	CST; SRG; ZNF693
chr1	11007722	11024253	Q8N9H9-1	-		C1orf127	
chr1	11073784	11082708	Q13148-1	+		TARDBP	TDP43
chr1	11086944	11107264	O00187-1	-	MASP-2	MASP2	
